Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties,zoom
9-16,media/1N9-IGs33KW0Tmr4jEd7XuOVMx7tTHLC5.jpeg,Daphne Hatch,,"Earlier this season, on June 13, I was investigating a rock outcrop where Turkey Vultures sometimes hang out and discovered a large burned out California Bay stump with a hollow about 5-6 feet deep. I didn't see anything in it except an old TUVU feather but I heard an eerie roaring wind sound that I learned from Birds of the World was from a 10-20 day old TUVU nestling. I went back on June 28 and found this downy chick at the bottom of the stump. By July 10 it was still there but was so dark I could barely see it as it had lost most of its downy feathers. I hope to catch it in another 10-20 days when it should wedge itself up out of the stump, which is how the adults get in and out to feed it!",14,Plain,blue,9-16,38.09377,-122.64063,,,,,
10-4,media/1atgwVMloM9hqx5qjThArUQQ6k1jq-7UU.jpg,ron brown,,"This is a Common Merganser family at Kent Lake (not in block 10-4). The pages on the Common Merganser in the Marin County Breeding Bird atlas by Shuford are very interesting (p120-121), including descriptions of the female and brood quite a distance from land and travelling overland to water, ""part of the brood will sometimes ride on the mother's back"", which I was lucky enough to see. On one evening visit there were 22 Common Mergansers roosting on the barrier at the dam as the family paddled around.  ",14,Plain,blue,10-4,37.96877,-122.70313,,,,,
9-10,media/18XY-8fYSGtYvBQra77p40ykgS8pXL5BD.jpeg,Kenneth Hillan,,Recently fledged American Robins enjoying the fruits of their labors.,14,Plain,blue,9-10,38.03127,-122.70313,,,,,
8-12,media/1EjCk6qYb41B6V3id4s7f9e6234QeQGKt.jpg,Sylvie Silverstein,,"At the Marin French Cheese Company, on June 6th,  parents Bullock Orioles were busy feeding their young in a well camouflaged nest, in a bouquet of leaves hanging low just above the lawn where many people walked and picnicked. Orioles did not seem to care about the crowds and people seem totally unaware of the birds flying in and out of their nest above their heads.  ",14,Plain,blue,8-12,38.13542,-122.70313,,,,,
Sensitive Species,media/1A-0iWH9nwufWssnP73Zyyt9LzW9yBs3F.jpg,Carolyn Longstreth,,"I was delighted to see this pair of northern spotted owls last February on the ——————, where I occasionally see them. Given the time of year, I inferred that they were a mated pair and would nest. I was never able to verify that; I did not see or hear them later in the season. I keep looking!

I wish it was a better photo and you may have others. Still, it's unusual so Im submitting it anyway.",10,Hidden,blue,Sensitive Species,38.07294,-122.73438,,,,,
9-12,media/1vuaUfaTLKyWUrZIZJPcGHP63dUFkJmRH.jpg,Beth Schriock,,Red-shouldered Hawk adult had just deposited prey on snag as screeching juvenile swoops in and severed tail of prey falls. West Marin,14,Plain,blue,9-12,38.01042,-122.70313,,,,,
12-17,media/1nd5M8G1umz-Gtetjscai9Vn2xOUB4wZO.jpg,Beth Schriock,,"Walking through a Novato open space I encountered a small flock of very active Blue-gray Gnatcatchers gleaning the leaves of a Valley Oak.  Despite watching for about 10 minutes, it was difficult to get an accurate count as they flitted about. This juvenile did pause for a few seconds for a portrait before flying off.",14,Plain,blue,12-17,38.07294,-122.54688,,,,,
17-13,media/1sHPUrETrqS_Db9uv2WEAvy-lcDGm4i42.jpeg,Evan Weissman,,"Of the 30+ confirmed breeders on Angel Island, nothing captured my heart more than the charismatic juvenile California Scrub-Jays. I photographed this one on the Sunset Trail one early morning in June, and they can be seen late spring through early summer all over the island, any time of day, chasing their siblings, begging from their parents, and exploring their habitat. ",14,Plain,blue,17-13,37.86192,-122.43108,,,,,
6-7,media/1vkb2BtpyLtMkx3G4rBvPIWlndU1LWjru.jpg,Renee Cormier,,"This is one of two Cedar Waxwing nests found in block 6-7 this summer, as part of a cluster of now-known breeding waxwings in this and an adjacent block. Suspicious bird first found by Diana Humple on a Point Blue point count survey, and a breeding pair and ultimately the nest were found two days later by Renee Cormier and Diana Humple. ",14,Plain,blue,6-7,38.05211,-122.85938,,,,,
5-2,media/1390-ZHHq-KMypUouXN4pTU3MKCm_ooa0.jpg,Lisa Hug ,,"Lisa and I counted 13 grasshopper sparrows during our 3.5 hour survey. We were walking slowly and carefully through the grass when we flushed a sparrow about five feet in front of us. It flew up quietly without making a sound. We immediately stopped, looked down, and found a small depression in a grass-lined hollow with five pale jellybean-sized eggs. We counted the eggs and moved on quickly so the sparrow could return to her nest. ",14,Plain,blue,5-2,38.23959,-122.82813,,,,,
Thanks Everyone!,media/1NcGGriRaNWYYCRZgKnYcDZlJ9YbfjCCL.jpg,,,"Thats the end of the slide show for now. As more people submit photos for the 2023 season they will be added to this map in the order that they are recieved. <br> -William Wiskes, GIS Analyst, MCBBA",10,Hidden,blue,Thanks Everyone!,38.07294,-122.73438,,,,,
